"","Trt","Con","Pct.Chng","Linear.pVal","Linear.Lower","Linear.Upper"
"i_felony",46,68.2223860384292,-0.325734518079028,0.0108519148693153,-0.503461105068934,-0.0843828688032434
"i_misdemea",45,71.8001232355841,-0.373260128644208,0.00191516810523214,-0.528227373936714,-0.167379232349722
"i_drugs",20,23.7588212205311,-0.158207395292951,0.255860346569383,-0.463556079215868,0.320964702261843
"any_crime",788,986.438973642963,-0.201167004695809,0.0146193213176719,-0.328625550630888,-0.049499150671155
"Omnibus",,,,0.000671557448477071,,
